Manuscript number 	Plate number- IAA inventory 	Fragment number (on IAA plate)	DJD- publication number
4Q364	-477	8	DJD12 pl.XVI:19a
4Q364	-477	10	DJD12 pl.XVI:18
4Q364	-477	9	DJD12 pl.XVI:19b
4Q364	-477	11	DJD12 pl.XV:13a
4Q270	-697	1	DJD18 pl.XXXV:7
4Q270	-697	6	DJD18 pl.XXX:4
4Q270	-697	3	DJD18 pl.XXXVI:15
4Q270	-697	2	DJD18 pl.XXXIII:
4Q270	-697	7	DJD18 pl.XXXVI:17
4Q270	-697	4	DJD18 pl.XXXVI:14
4Q270	-697	5	DJD18 pl.XXXVI:13
4Q270	-697	13	DJD18 pl.XXXIII:
4Q270	-697	12	DJD18 pl.XXXVI:10
4Q270	-697	11	DJD18 pl.XXX:4
4Q270	-697	9	DJD18 pl.XXVIII:3iia
4Q270	-697	10	DJD18 pl.XXXVI:8
4Q270	-697	8	DJD18 pl.XXXVI:11
4Q270	-697	18	DJD18 pl.XXXVI:12
4Q88	-436	1	DJD15 pl.XIV:12
4Q88	-436	2	DJD15 pl.XIV:11
4Q88	-436	6	DJD15 pl.XIII:9
4Q88	-436	4	DJD15 pl.XIV:10
4Q88	-436	7	not found in publication
4Q88	-436	9	not found in publication
4Q88	-436	8	not found in publication
4Q88	-436	10	not found in publication
4Q88	-436	5	not found in publication
11Q18	-578	1	DJD23 pl.XXXV:5+6
11Q18	-578	2	DJD23 pl.XXXV:8
11Q18	-578	3	DJD23 pl.XXXV:3+9
11Q18	-578	4	DJD23 pl.XXXV:7
4Q379	-479	1	DJD22 pl.XXI:3
4Q379	-479	5	DJD22 pl.XXI:5
4Q379	-479	4	DJD22 pl.XXI:6
4Q379	-479	3	DJD22 pl.XXI:4
4Q379	-479	2	DJD22 pl.XXI:2
4Q379	-479	9	DJD22 pl.XXI:7
4Q379	-479	8	DJD22 pl.XXI:9
4Q379	-479	7	DJD22 pl.XXI:8
4Q379	-479	6	DJD22 pl.XXI:10
4Q379	-479	11	DJD22 pl.XXII:11
4Q379	-479	10	DJD22 pl.XXII:12
4Q379	-479	12	DJD22 pl.XXII:14
4Q379	-479	13	DJD22 pl.XXII:13
4Q379	-479	14	DJD22 pl.XXII:15
4Q379	-479	15	DJD22 pl.XXII:16
4Q379	-479	16	DJD22 pl.XXII:17
4Q379	-479	18	DJD22 pl.XXV:39
4Q59	-262	4	DJD15 pl.XVI:4
4Q59	-262	3	DJD15 pl.XVI:5
4Q59	-262	7	DJD15 pl.XVI:8
4Q59	-262	1	DJD15 pl.XVI:6
4Q59	-262	2	DJD15 pl.XVI:7
4Q59	-262	5	DJD15 pl.XVI:12
4Q59	-262	9	DJD15 pl.XVI:9
4Q59	-262	22	DJD15 pl.XVI:10
4Q9999	-262	25	not found in publication
4Q59	-262	6	DJD15 pl.XVI:11
4Q60	-262	28	DJD15 pl.XVIII:7
4Q59	-262	15	DJD15 pl.XVI:1
4Q59	-262	14	DJD15 pl.XVII:16
4Q59	-262	8	DJD15 pl.XVI:13
4Q59	-262	23	DJD15 pl.XVI:14
4Q59	-262	10	DJD15 pl.XVI:15
4Q59	-262	13	DJD15 pl.XVII:17
4Q59	-262	18	DJD15 pl.XVII:19
4Q59	-262	16	DJD15 pl.XVII:18
4Q59	-262	11	DJD15 pl.XVI:2
4Q59	-262	12	DJD15 pl.XVI:3
4Q59	-262	26	DJD15 pl.XVII:23
4Q59	-262	21	DJD15 pl.XVII:20
4Q59	-262	20	DJD15 pl.XVII:21
4Q59	-262	19	DJD15 pl.XVII:25
4Q59	-262	17	DJD15 pl.XVII:24
4Q59	-262	24	DJD15 pl.XVII:22
4Q9999	-262	27	not found in publication
4Q59	-262	29	not found in publication
4Q199	-231	2	DJD19 pl.VIII:1
4Q199	-231	4	DJD19 pl.VIII:2
4Q198	-231	1	DJD19 pl.VIII:1
4Q198	-231	5	DJD19 pl.VIII:2
4Q258	-140	1	DJD26 pl.X:1a
4Q258	-140	2	DJD26 pl.X:1b
4Q258	-140	5	DJD26 pl.XI:3b
4Q258	-140	7	DJD26 pl.XI:3d
4Q258	-140	4	DJD26 pl.XI:2
4Q258	-140	6	DJD26 pl.XI:3c
11Q30	-1016	2	
11Q5	-977	5	
11Q5	-977	6	
11Q6	(621b)	28	
11Q7	-1027	2	
11Q9999	-614	20	
11Q9999	-614	22	
11Q9999	-1031	1	
11Q9999	-1031	2	
11Q9999	-1031	5	
11Q9999	-1034	2	
11Q9999	-1034	4	
11Q9999	-1034	5	
4Q537	-260	1	DJD31 pl.XI:5
4Q537	-260	2	DJD31 pl.XI:9
4Q537	-260	10	DJD31 pl.XI:1b
4Q537	-260	7	DJD31 pl.XI:2
4Q537	-260	6	DJD31 pl.XI:3
4Q537	-260	5	DJD31 pl.XI:6
4Q537	-260	3	DJD31 pl.XI:7
4Q537	-260	8	DJD31 pl.XI:8
4Q537	-260	4	DJD31 pl.XI:10
4Q537	-260	9	DJD31 pl.XI:1c
4Q537	-260	11	DJD31 pl.XI:12
