id;ref_num;TEI-TAG;equivalent;
725;725;variantEncoding;;
726;726;vColl;;
727;727;vDefault;;
728;728;view;;
729;729;vLabel;;
730;730;vMerge;;
731;731;vNot;;
732;732;vocal;;
733;733;vRange;;
734;734;w;;
735;735;watermark;;
736;736;when;;
737;737;width;;
738;738;wit;;
739;739;witDetail;;
740;740;witEnd;;
741;741;witness;;
742;742;witStart;;
743;743;writing;;
744;744;xr;;
745;745;zone;;
746;746;absolute;;
747;747;active;;
748;748;adj;;
749;749;adjFrom;;
750;750;adjTo;;
751;751;age;;
752;752;agent;;
753;753;aloud;;
754;754;ana;;
755;755;anchored;;
756;756;arity;;
757;757;assertedValue;;
758;758;atLeast;;
759;759;atMost;;
760;760;attachment;;
761;761;atts;;
762;762;autoPrefix;;
763;763;baseForm;;
764;764;baseTypes;;
765;765;break;;
766;766;calendar;;
767;767;cause;;
768;768;cert;;
769;769;change;;
770;770;children;;
771;771;class;;
772;772;code;;
773;773;cols;;
774;774;columns;;
775;775;commodity;;
776;776;confidence;;
777;777;contemporary;;
778;778;copyOf;;
779;779;corresp;;
780;780;cRef;;
781;781;datcat;;
782;782;datingMethod;;
783;783;datingPoint;;
784;784;datum;;
785;785;decls;;
786;786;default;;
787;787;defective;;
788;788;degree;;
789;789;delim;;
790;790;dim;;
791;791;direct;;
792;792;discrete;;
793;793;docLang;;
794;794;domains;;
795;795;dur;;
796;796;dur-iso;;
797;797;ed;;
798;798;edRef;;
799;799;encoding;;
800;800;end;;
801;801;enjamb;;
802;802;eol;;
803;803;evaluate;;
804;804;evidence;;
805;805;except;;
806;806;exclude;;
807;807;expand;;
808;808;extent;;
809;809;facs;;
810;810;feats;;
811;811;feature;;
812;812;filter;;
813;813;flipping;;
814;814;follow;;
815;815;force;;
816;816;form;;
817;817;from;;
818;818;from-custom;;
819;819;from-iso;;
820;820;full;;
821;821;function;;
822;822;fVal;;
823;823;generate;;
824;824;gi;;
825;825;given;;
826;826;gradual;;
827;827;group;;
828;828;hand;;
829;829;hands;;
830;830;height;;
831;831;ident;;
832;832;include;;
833;833;inDegree;;
834;834;indexName;;
835;835;inst;;
836;836;instant;;
837;837;interval;;
838;838;iterated;;
839;839;key;;
840;840;label;;
841;841;lang;;
842;842;lemma;;
843;843;lemmaRef;;
844;844;length;;
845;845;level;;
846;846;loc;;
847;847;location;;
848;848;locus;;
849;849;lrx;;
850;850;lry;;
851;851;mainLang;;
852;852;marks;;
853;853;match;;
854;854;matchPattern;;
855;855;material;;
856;856;max;;
857;857;maxOccurs;;
858;858;medium;;
859;859;mergedIn;;
860;860;met;;
861;861;method;;
862;862;mimeType;;
863;863;min;;
864;864;minOccurs;;
865;865;mode;;
866;866;module;;
867;867;mutual;;
868;868;n;;
869;869;name;;
870;870;new;;
871;871;next;;
872;872;norm;;
873;873;notAfter;;
874;874;notAfter-custom;;
875;875;notAfter-iso;;
876;876;notation;;
877;877;notBefore;;
878;878;notBefore-custom;;
879;879;notBefore-iso;;
880;880;ns;;
881;881;nymRef;;
882;882;occurs;;
883;883;opt;;
884;884;optional;;
885;885;ord;;
886;886;order;;
887;887;ordered;;
888;888;org;;
889;889;orig;;
890;890;origin;;
891;891;otherLangs;;
892;892;outDegree;;
893;893;parent;;
894;894;part;;
895;895;parts;;
896;896;passive;;
897;897;pattern;;
898;898;perf;;
899;899;period;;
900;900;place;;
901;901;points;;
902;902;pre;;
903;903;precision;;
904;904;predeclare;;
905;905;prefix;;
906;906;prev;;
907;907;quantity;;
908;908;real;;
909;909;reason;;
910;910;ref;;
911;911;rend;;
912;912;render;;
913;913;rendition;;
914;914;replacementPattern;;
915;915;resp;;
916;916;result;;
917;917;rhyme;;
918;918;role;;
919;919;rotate;;
920;920;rows;;
921;921;ruledLines;;
922;922;sameAs;;
923;923;sample;;
924;924;scale;;
925;925;scheme;;
926;926;scope;;
927;927;scribe;;
928;928;scribeRef;;
929;929;script;;
930;930;scriptRef;;
931;931;select;;
932;932;seq;;
933;933;sex;;
934;934;since;;
935;935;size;;
936;936;social;;
937;937;sort;;
938;938;sortKey;;
939;939;source;;
940;940;space;;
941;941;spanTo;;
942;942;split;;
943;943;start;;
944;944;status;;
945;945;stdDeviation;;
946;946;style;;
947;947;subtype;;
948;948;synch;;
949;949;tag;;
950;950;tags;;
951;951;target;;
952;952;targetEnd;;
953;953;targetLang;;
954;954;targets;;
955;955;targFunc;;
956;956;terminal;;
957;957;time;;
958;958;to;;
959;959;to-custom;;
960;960;to-iso;;
961;961;trans;;
962;962;trunc;;
963;963;type;;
964;964;ulx;;
965;965;uly;;
966;966;unit;;
967;967;uri;;
968;968;url;;
969;969;usage;;
970;970;valid;;
971;971;value;;
972;972;valueDatcat;;
973;973;varSeq;;
974;974;version;;
975;975;versionDate;;
976;976;weights;;
977;977;when;;
978;978;when-custom;;
979;979;when-iso;;
980;980;where;;
981;981;who;;
982;982;width;;
983;983;wit;;
984;984;withId;;
985;985;writtenLines;;
986;986;xml:base;;
987;987;xml:id;;
988;988;xml:lang;;
989;989;xml:space;;
"';";;att.global.rendition;;
;;att.global.responsibility;;
;;att.global.source;;
;;abstract;;
;;correspAction;;
;;correspContext;;
;;correspDesc;;
;;punctuation;;
;;msFrag;;
;;obect;;
;;persona;;
